employee_id,age,gender,city,education,department,role,years_experience,hire_date,weekly_hours,overtime_hours,remote_days,monthly_salary_mad,performance_score,satisfaction_score,contract_type,promoted_last_2y
EMP0350,38,Homme,Rabat,Master,RH,HR Specialist,18,2007-06-05,39,8.6,0,15450,3.3,7.3,CDI,Non
EMP0413,41,Homme,Rabat,Master,Sales,Sales Analyst,18,2006-12-16,47,10.0,0,21950,4.1,5.0,Stage,Oui
EMP0462,27,Homme,Casablanca,Licence,RH,Recruiter,6,2019-11-27,45,5.2,0,9900,3.3,7.0,CDI,Non
EMP0144,21,Femme,Casablanca,Master,Data,BI Analyst,1,2023-09-06,39,3.7,1,15200,3.6,7.3,CDD,Non
EMP0136,36,Homme,Fès,Bac+2,Sales,Sales Analyst,3,2023-03-23,35,13.8,2,9700,2.1,6.1,CDI,Non
EMP0282,29,Femme,Tanger,Bac+2,IT,Network Engineer,5,2019-04-03,37,4.3,1,13850,3.3,8.6,CDI,Oui
EMP0381,36,Homme,Casablanca,Licence,IT,System Engineer,10,2016-11-15,48,6.8,0,18900,2.8,6.1,CDD,Non
EMP0535,53,Homme,Tanger,Licence,Sales,Sales Representative,11,2013-10-27,32,7.6,0,15250,3.4,6.7,CDI,Non
EMP0241,54,Homme,Rabat,Master,RH,Recruiter,30,2002-01-24,45,4.1,1,22950,3.6,7.8,CDI,Non
EMP0587,41,Homme,Tanger,Master,IT,Support Engineer,19,2007-08-25,37,4.0,1,19850,3.4,5.4,Stage,Non
EMP0155,34,Homme,Marrakech,Licence,Operations,Operations Analyst,0,2026-01-03,35,8.1,3,7750,2.3,8.9,CDI,Non
EMP0404,39,Homme,Rabat,Master,Operations,Coordinator,7,2018-12-06,51,6.8,0,12800,3.3,5.8,CDI,Non
EMP0183,23,Femme,Fès,Doctorat,Operations,Operations Analyst,0,2025-04-18,43,2.1,2,11150,1.1,9.3,CDI,Non
EMP0443,26,Homme,Rabat,Doctorat,Sales,Account Manager,6,2019-04-20,32,8.9,1,17900,3.7,5.4,CDI,Non
EMP0305,39,Homme,Rabat,Master,Finance,Controller,14,2010-01-25,40,3.3,1,21000,3.4,8.2,CDD,Non
EMP0133,44,Homme,Casablanca,Master,Sales,Sales Representative,13,2011-01-01,38,5.9,1,16900,3.0,7.2,CDI,Non
EMP0121,32,Femme,Casablanca,Master,Operations,Operations Analyst,1,2025-09-06,48,2.7,1,13800,4.2,7.8,CDD,Non
EMP0042,36,Femme,Marrakech,Master,Sales,Sales Analyst,15,2011-11-06,42,6.0,3,15950,2.7,7.3,CDI,Non
EMP0026,28,Femme,Fès,Bac+2,Finance,Controller,7,2017-01-02,39,2.2,2,14400,3.6,8.6,CDI,Non
EMP0588,32,Homme,Rabat,Bac+2,Finance,Controller,11,2014-08-02,49,7.7,3,12800,3.5,6.2,CDI,Oui
EMP0111,43,Femme,Casablanca,Licence,Data,Data Engineer,3,2023-04-11,41,1.6,1,15050,4.7,9.5,CDI,Oui
EMP0012,37,Homme,Casablanca,Master,RH,HR Analyst,5,2021-10-06,39,9.4,0,15000,4.1,5.2,CDI,Non
EMP0415,53,Homme,Fès,Master,Sales,Sales Analyst,2,2024-02-18,49,12.7,2,11050,3.0,4.7,CDI,Non
EMP0617,24,Homme,Tanger,Master,Operations,Technician,4,2020-04-08,42,8.3,1,12750,3.2,8.3,CDI,Non
EMP0037,40,Homme,Casablanca,Master,Sales,Sales Representative,18,2008-01-01,44,4.5,1,19450,3.2,6.9,Stage,Non
EMP0352,32,Homme,Marrakech,Bac,IT,Network Engineer,10,2015-06-20,36,10.5,1,13150,2.8,7.6,CDI,Non
EMP0446,31,Homme,Casablanca,Master,Operations,Coordinator,2,2022-11-05,36,5.2,1,13450,4.5,7.0,CDD,Oui
EMP0045,38,Femme ,Marrakech,Doctorat,Data,,5,2020-08-20,51,2.9,1,21750,3.7,6.7,CDI,Non
EMP0130,35,Homme,Marrakech,Master,Operations,Coordinator,5,2020-09-17,42,2.5,2,15000,2.2,7.2,Stage,Non
EMP0246,27,Homme,Casablanca,Licence,IT,Support Engineer,7,2019-11-12,43,5.2,2,15100,4.2,5.8,Stage,Non
EMP0534,27,Homme,Casablanca,Licence,RH,HR Analyst,1,2024-09-05,36,10.0,0,9450,3.3,5.5,CDI,Non
EMP0100,24,Femme,Marrakech,Master,Sales,Account Manager,2,2022-07-20,47,5.6,1,15200,4.0,9.8,CDI,Non
EMP0074,30,Femme,Tanger,Bac+2,Finance,Financial Analyst,1,2023-03-01,44,1.4,1,12250,4.3,,CDI,Non
EMP0280,40,Homme,Tanger,Master,IT,,15,2010-12-13,42,4.9,0,17900,4.0,9.5,CDI,Non
EMP0323,33,Femme,Rabat,Master,Sales,Sales Representative,5,2020-08-05,47,0.9,1,11300,3.1,6.8,CDI,Non
EMP0002,28,Homme,Tanger,Licence,Operations,Operations Analyst,6,2020-04-06,55,3.6,1,11850,4.0,,CDI,Non
EMP0283,43,Femme,Fès,Bac+2,IT,Network Engineer,18,2008-09-06,42,5.2,1,17150,3.0,6.7,CDI,Non
EMP0529,48,Homme,Casablanca,Doctorat,Sales,Sales Representative,12,2014-02-09,43,14.0,0,19850,2.6,4.9,CDI,Non
EMP0068,42,Femme,Marrakech,Licence,RH,HR Analyst,12,2014-06-24,34,10.3,2,11900,3.1,8.0,CDI,Non
EMP0170,38,Homme,Rabat,Licence,Finance,Financial Analyst,0,2025-03-01,46,3.3,1,11950,4.1,5.8,CDI,Oui
EMP0085,26,Homme,Fès,Master,Sales,Account Manager,3,2022-02-14,45,4.2,2,13650,2.9,6.4,CDI,Non
EMP0627,38,Homme,Marrakech,Licence,Sales,Sales Representative,18,2007-08-15,31,7.8,2,16850,3.0,7.1,CDI,Non
EMP0032,35,Homme,Tanger,Master,RH,HR Specialist,12,2012-06-05,36,14.3,2,14050,4.6,6.4,CDI,Non
EMP0174,35,Femme,Casablanca,Master,Operations,Coordinator,7,2018-03-06,40,6.1,1,11350,,5.2,CDI,Oui
EMP0228,26,Homme,Tanger,Master,Finance,Controller,6,2019-06-03,41,1.6,0,17050,4.0,7.0,CDI,Non
EMP0159,41,Femme,Casablanca,Licence,Data,Data Engineer,3,2023-05-14,41,10.8,1,15700,3.2,7.1,CDI,Non
EMP0382,28,Femme,Fès,Licence,Finance,Financial Analyst,4,2021-03-21,43,9.1,2,15250,4.0,7.4,CDD,Non
EMP0445,32,Homme,Rabat,Master,Sales,Account Manager,10,2015-04-11,46,1.6,1,18650,3.5,6.3,CDI,Non
EMP0163,27,Homme,Rabat,Bac+2,Operations,Technician,5,2021-12-15,44,2.3,1,8800,2.9,7.0,CDI,Non
EMP0517,38,Femme,Marrakech,Licence,Sales,Sales Analyst,10,2014-10-01,49,3.2,1,15600,4.0,8.0,CDI,Non
EMP0168,36,Homme,Marrakech,Master,RH,HR Specialist,14,2010-01-08,43,4.6,0,16550,3.3,7.1,CDI,Non
EMP0589,39,Homme,Casablanca,Bac+2,RH,HR Analyst,18,2007-06-24,33,10.9,1,18100,4.0,4.9,CDI,Oui
EMP0244,32,Homme,Tanger,Licence,Operations,Operations Analyst,1,2024-07-25,42,22.0,2,8550,3.9,5.7,CDI,Non
EMP0419,36,Homme,Casablanca,Bac+2,RH,HR Specialist,10,2016-04-07,42,8.2,2,10700,2.6,6.3,CDI,Non
EMP0118,37,Femme,Rabat,Licence,Sales,Sales Representative,10,2016-02-17,49,2.8,1,12100,2.4,7.6,CDI,Non
EMP0184,34,Femme,Casablanca,Bac+2,Finance,Financial Analyst,5,2019-08-27,33,5.1,4,14650,1.9,7.0,CDI,Non
EMP0551,50,Femme,Fès,Licence,Sales,Sales Representative,21,2003-06-04,45,2.6,1,22600,5.0,8.7,CDI,Non
EMP0234,57,Homme,Casablanca,Bac+2,Data,BI Analyst,29,2002-03-02,39,6.6,1,27950,4.0,5.4,Stage,Non
EMP0265,29,Femme,Tanger,Licence,Finance,Financial Analyst,0,2024-03-06,42,5.3,1,12150,3.7,6.5,CDI,Non
EMP0620,47,Homme,Fès,Licence,IT,System Engineer,26,2002-07-11,43,2.3,1,23750,3.0,6.6,CDI,Non
EMP0580,47,Homme,Agadir,Bac+2,Operations,Operations Analyst,5,2019-07-21,42,3.1,1,11100,3.7,7.5,CDI,Non
EMP0167,31,Homme,Tanger,Bac+2,Data,BI Analyst,7,2019-01-05,45,4.0,1,12350,2.7,8.3,CDI,Non
EMP0403,45,Femme,Agadir,Bac,IT,Network Engineer,17,2009-03-12,49,4.5,0,21800,4.0,6.6,CDI,Oui
EMP0610,40,Homme,Rabat,Master,Sales,Account Manager,5,2020-06-11,44,4.7,2,18750,4.3,6.0,CDI,Non
EMP0229,35,Homme,Agadir,Master,Finance,Controller,12,2014-09-18,52,2.6,4,19500,4.3,8.6,CDI,Non
EMP0150,39,Femme,Marrakech,Bac+2,Operations,Coordinator,10,2014-01-23,38,10.8,0,16600,4.0,6.0,CDI,Non
EMP0125,41,Femme,Rabat,Master,Sales,Account Manager,18,2007-05-07,44,1.1,0,18850,2.9,8.1,CDI,Oui
EMP0477,46,Homme,Casablanca,Master,Finance,Controller,24,2002-10-24,37,3.7,0,25600,3.8,6.4,CDI,Non
EMP0356,22,Femme,Agadir,Master,Sales,Sales Analyst,2,2024-08-10,44,7.1,2,13600,3.4,8.4,CDI,Non
EMP0533,21,Femme,Marrakech,Doctorat,Finance,Financial Analyst,1,2024-05-21,42,2.3,0,14000,1.8,5.4,CDI,Non
EMP0067,31,Homme,Rabat,Master,Sales,Account Manager,11,2013-10-19,39,7.5,1,17100,3.4,7.2,CDI,Oui
EMP0107,33,Homme,Casablanca,Master,Sales,Sales Analyst,12,2012-12-12,49,5.0,0,19250,4.0,7.3,CDI,Non
EMP0435,29,Homme,Casablanca,Master,Operations,Operations Analyst,5,2021-11-20,53,17.4,0,14000,3.5,7.2,CDD,Non
EMP0271,36,Femme,Casablanca,Licence,Operations,Technician,2,2022-04-24,41,15.9,1,11200,4.0,6.7,CDI,Non
EMP0592,42,Homme,Casablanca,,Sales,Sales Analyst,10,2014-12-03,44,11.2,1,16450,3.1,7.2,CDI,Non
EMP0060,40,Homme,Casablanca,Master,Data,Data Engineer,14,2010-12-19,48,1.6,1,22400,4.3,7.0,CDI,Non
EMP0649,27,Homme,Tanger,Bac+2,Operations,Technician,5,2020-02-11,44,1.0,4,9200,3.4,6.7,CDI,Non
EMP0248,42,Homme,Tanger,Bac,RH,HR Analyst,15,2009-02-09,44,11.4,1,14750,4.2,6.7,CDI,Non
EMP0405,36,Homme,Casablanca,Bac,Data,Data Engineer,14,2012-07-19,50,3.8,0,22950,4.3,6.3,Stage,Oui
EMP0279,30,Homme,Casablanca,Master,Operations,Coordinator,5,2019-07-02,49,0.7,2,14850,4.0,7.3,CDI,Non
EMP0330,40,Homme,Agadir,Licence,IT,System Engineer,6,2018-08-01,41,7.2,2,18600,3.7,7.3,CDI,Non
EMP0309,44,Femme,Rabat,Master,Operations,Coordinator,12,2013-10-04,47,12.2,1,18800,4.2,6.2,CDI,Non
EMP0571,40,Femme,Marrakech,Master,IT,System Engineer,8,2017-12-16,37,3.9,2,17500,2.8,7.3,CDI,Non
EMP0141,38,Femme,Casablanca,Bac+2,RH,Recruiter,1,2024-03-06,44,9.4,4,7700,4.4,7.3,CDI,Non
EMP0154,38,Femme,Casablanca,Bac,Sales,Account Manager,13,2011-10-11,41,4.9,1,16550,5.0,7.0,CDI,Oui
EMP0402,47,Homme,Casablanca,Licence,Finance,Financial Analyst,27,2002-01-25,45,7.3,3,24350,4.0,8.0,CDD,Non
EMP0512,40,Homme,Marrakech,Licence,Finance,Financial Analyst,11,2015-10-04,50,3.3,2,17600,3.9,7.3,CDI,Non
EMP0178,35,Homme,Casablanca,Master,Operations,Operations Analyst,6,2019-08-04,36,5.7,0,14000,3.5,6.1,CDD,Non
EMP0457,32,Femme,Casablanca,Licence,IT,Network Engineer,2,2022-12-01,45,8.2,1,11100,2.6,6.8,CDI,Non
EMP0452,50,Femme,Agadir,Master,Data,BI Analyst,21,2003-06-11,53,14.8,0,23450,3.9,6.6,CDD,Oui
EMP0520,27,Femme,Rabat,Licence,Operations,Coordinator,0,2025-08-02,44,2.4,1,7450,4.5,6.0,CDI,Non
EMP0559,42,Femme,Rabat,Doctorat,Operations,Coordinator,4,2021-11-13,43,1.2,0,14500,3.4,6.0,CDI,Non
EMP0496,41,Femme,Agadir,Master,Sales,Sales Analyst,6,2018-01-27,45,6.6,2,12600,4.5,6.6,CDI,Non
EMP0394,33,Femme,,Bac+2,Sales,Sales Representative,2,2024-05-15,45,9.1,1,8750,3.8,5.0,CDD,Non
EMP0465,33,Homme,Fès,Licence,Sales,Account Manager,8,2016-06-24,78,0.6,1,16850,2.7,9.5,CDD,Non
EMP0638,36,Homme,Rabat,Bac+2,Operations,Operations Analyst,16,2009-02-10,39,5.6,1,14300,4.2,9.3,CDD,Non
EMP0116,41,Homme,Fès,Bac+2,Sales,Sales Analyst,18,2006-01-17,47,1.5,2,15600,2.3,6.4,CDI,Non
EMP0161,30,Femme,Casablanca,Licence,Operations,Coordinator,6,2018-06-11,45,5.8,2,11650,,6.7,CDI,Non
EMP0077,42,Femme,Tanger,Licence,IT,Support Engineer,22,2003-04-03,44,4.3,2,20200,2.9,6.9,CDD,Oui
EMP0069,44,Femme,Casablanca,Master,Finance,Accountant,3,2023-07-15,41,2.1,1,15450,2.7,7.2,CDI,Non
EMP0036,32,Homme,,Bac+2,RH,HR Specialist,3,2021-06-21,43,13.3,3,11300,3.5,7.2,Stage,Non
EMP0207,36,Homme,Rabat,Master,Operations,Coordinator,14,2011-11-24,42,5.8,2,18350,3.3,9.0,CDI,Non
EMP0323,33,Femme,Rabat,Master,Sales,Sales Representative,5,2020-08-05,47,0.9,1,11300,3.1,6.8,CDI,Non
EMP0388,44,Femme,Casablanca,Licence,IT,System Engineer,16,2009-03-07,37,6.8,2,19150,3.5,4.7,CDI,Non
EMP0503,34,Homme,Tanger,Master,Data,BI Analyst,6,2019-03-10,55,7.5,2,17350,3.7,9.2,CDI,Non
EMP0377,46,Homme,Casablanca,Master,Data,Data Analyst,15,2011-08-13,48,1.4,1,18100,4.4,4.4,CDI,Non
EMP0199,35,Femme,Casablanca,Bac+2,RH,Recruiter,8,2018-05-11,46,7.2,2,11400,3.3,3.5,CDI,Non
EMP0061,26,Femme,Rabat,Licence,Operations,Operations Analyst,1,2024-01-01,42,7.9,3,10550,3.3,7.4,CDI,Non
EMP0308,32,Homme,Marrakech,Master,Data,Data Engineer,4,2021-01-12,36,14.4,2,19850,3.4,8.4,CDI,Non
EMP0124,32,Homme,Casablanca,Bac,Sales,Sales Analyst,6,2019-10-14,47,5.2,1,10150,3.1,8.1,CDI,Oui
EMP0059,44,Femme,Marrakech,Licence,Sales,Sales Representative,9,2015-01-04,48,1.2,1,14650,4.4,7.8,CDI,Non
EMP0470,43,Homme,Rabat,Bac+2,Operations,Coordinator,7,2018-06-04,72,12.2,0,14350,3.0,7.1,CDI,Non
EMP0075,35,Femme,Rabat,Bac+2,IT,Network Engineer,5,2021-05-12,34,1.1,1,11850,3.0,6.8,CDD,Non
EMP0469,32,Homme,Tanger,Master,IT,System Engineer,0,2025-01-26,52,3.9,1,14700,3.4,5.7,CDI,Non
EMP0046,38,Homme,Rabat,Master,IT,System Engineer,9,2017-03-03,46,1.7,1,15850,2.8,8.3,CDD,Non
EMP0209,39,Femme,Tanger,Master,RH,HR Specialist,19,2007-05-04,48,9.5,0,17100,3.1,7.5,CDI,Oui
EMP0097,35,Femme,Tanger,Master,Sales,Account Manager,9,2017-03-01,39,10.6,2,16800,3.8,6.9,CDI,Non
EMP0079,22,Homme,Marrakech,Bac+2,Operations,Operations Analyst,2,2022-11-05,42,9.3,2,7300,2.7,8.2,CDI,Non
EMP0365,24,Homme,Agadir,Doctorat,Sales,Sales Representative,0,2025-11-10,49,9.2,1,14650,3.7,8.7,CDI,Non
EMP0290,43,Femme,Casablanca,Doctorat,IT,System Engineer,23,2003-03-03,49,9.8,2,22900,3.0,5.1,CDD,Non
EMP0468,30,Homme,Casablanca,Licence,Sales,Account Manager,5,2021-12-27,49,9.2,1,13050,3.7,6.9,CDI,Non
